"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Exports of goods and services (% of GDP)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Renewable internal freshwater resources per capita (cubic meters)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Workers' remittances and compensation of employees, received (current US$)"
2007,"Congo, Rep.","COG",112.808,5.04621562979479,73.0105883637158,4.41,4.28947E9,7.64584250532584E9,-1.59,1510.0,2700.0,5.36995637402119E9,9.59639373291188E9,67.0,42.9116380630787,59.8417720009596,-7.89082954875258,2.75970437370903,53.5312195121951,112.283346524859,1.38764872830477,36.2600092084013,125.4,1.84829348741928,3551105.0,3.5,62515.7521391229,35.1120123692456,342000.0,37.0,1.4814E7
2007,"Cote d'Ivoire","CIV",129.929,23.8536523461133,46.5847674756383,4.645,4.269E8,1.97957213828617E10,1.7142291903655,880.0,1550.0,1.77709107660649E10,3.1105846887311E10,67.0,40.9457307538096,25.2860730760134,2.71288096723094,2.23626975098292,57.2782926829268,73.9351687010063,1.59157858877783,37.1106877990514,126.5,2.25852731262221,2.0122796E7,3.9,3818.55483701172,50.8602745778733,322460.0,40.0,1.7944E8
2007,"Croatia","HRV",14.126,6.06411839824527,42.7884873974192,1.4,4.91575E9,5.85582312537493E10,5.47141455062213,12000.0,17840.0,5.32398433062375E10,7.91296652415781E10,96.0,50.3506828886164,28.216569530131,4.04480363217266,44.744320423302,75.6658536585366,65.2395524626676,1.6335529341276,113.494193619361,5.8,-0.0905364673893594,4435982.0,0.1,8498.68191530083,65.7193120716238,56540.0,22.0,1.393883E9
2007,"Denmark","DNK",6.008,1.33754572478485,52.1393813839803,1.85,1.18576831408891E10,3.11579353416605E11,1.79956902575225,55450.0,36800.0,3.02815788191373E11,2.00956886758256E11,89.0,50.9917240387257,25.693916270362,1.50669097622456,80.7132663595192,78.2763414634146,64.6534479550865,1.34008317229068,115.538013980933,4.4,0.443466054321374,5461438.0,0.2,1098.61175756275,72.9685380048532,43090.0,6.0,1.02774E9
2007,"Dominican Republic","DOM",108.7,6.57133358681071,29.110533764479,2.4,1.698E9,4.13165437557733E10,8.47462477828749,4070.0,7340.0,3.95645506832476E10,7.13570607135494E10,96.0,39.8749738218514,31.5574236377804,5.70085725461085,17.2430528555597,72.299756097561,50.2394394911107,0.557758580183715,56.6841797167226,37.6,1.14683378188183,9725568.981593,1.1,2158.74259282268,61.8712427754089,48730.0,22.0,3.4139E9
2007,"Ecuador","ECU",82.8,6.90642355610095,32.6889565162214,2.578,1.8269E8,4.5789374E10,2.49093630715778,3150.0,7100.0,4.2057624680253E10,9.47705458759379E10,99.0,33.4370192934096,35.6422705286803,6.9757070448331,8.63524907273148,74.9980487804878,61.6179236038475,2.86092576849817,74.5149145609296,22.2,1.03676374367864,1.33395804834108E7,0.3,32384.8265346304,57.4513059152188,283560.0,65.0,3.093759E9
2007,"El Salvador","SLV",82.7,12.1300830317224,26.130914800521,2.349,1.52561E9,2.03726E10,4.65002279981761,3200.0,6330.0,1.95522920421313E10,3.86460651442794E10,98.0,50.0713243599737,28.7577176921439,4.36249932394168,12.4943484770404,71.1590243902439,62.3189970843191,0.598843544761101,100.501411468371,23.8,0.411176261484168,6106761.0,0.8,2906.61448843339,59.1121992761337,21040.0,26.0,3.7113E9
2007,"Estonia","EST",21.405,2.77369381339572,74.3861039832352,1.64,2.68659970177161E9,2.09586754385965E10,6.33292120559715,12840.0,18830.0,1.72333549178005E10,2.52657301856895E10,96.0,85.2726480555513,30.378003398757,9.58890350494548,63.6976846800112,72.909756097561,127.368427543089,2.20107320629694,147.714866226619,5.6,-0.139653436441175,1341672.0,1.3,9474.74494511326,66.8483027878473,45230.0,7.0,4.26E8
2007,"Ethiopia","ETH",104.397,46.2921265326549,12.8278993707442,5.381,2.2259E8,1.93947283523382E10,11.10239099635,220.0,780.0,1.75676857870844E10,6.16519918958202E10,65.0,32.2491074962662,13.3843105785143,16.8371211382719,0.370011858689343,54.98,36.2634622781509,1.90321287842665,1.53662746117647,118.6,2.59998064963343,7.8646128E7,2.1,1551.25246598281,40.3235628888308,1104300.0,16.0,3.5782E8
2007,"Finland","FIN",11.388,3.1889725917615,44.8134079962407,1.83,1.15684451188547E10,2.44660845286324E11,4.39964094957379,44310.0,34760.0,2.34325170681095E11,1.83862224359337E11,98.0,40.145670987195,32.2551690976118,2.5051841532599,78.8233636872438,79.259512195122,70.2397780727384,1.23238550226842,114.961654237698,3.5,0.425429832100609,5288720.0,0.1,20231.7384924897,64.5558583106267,338150.0,14.0,7.7193E8
